"District
Number",Zip Codes,District,Region,County,"School
Type","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score"
227901,,AUSTIN ISD,REGION 13: AUSTIN,TRAVIS,Elem/Secondary,No,No,890,43.90%,13.00%,A,94,A,96,A,93,C,73,A,93,B,88
227901,,AUSTIN ISD,REGION 13: AUSTIN,TRAVIS,Elem/Secondary,No,No,10,30.00%,10.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
227901,,AUSTIN ISD,REGION 13: AUSTIN,TRAVIS,Elem/Secondary,No,No,124,46.80%,15.30%,Not Rated,        .,Not Rated,87,Not Rated,98,Not Rated,98,Not Rated,94,Not Rated,        .
228901,,GROVETON ISD,REGION 06: HUNTSVILLE,TRINITY,Elem/Secondary,No,No,409,52.80%,0.20%,B,84,B,82,B,87,B,87,C,77,C,77
228904,,CENTERVILLE ISD,REGION 06: HUNTSVILLE,TRINITY,Elem/Secondary,No,No,137,56.20%,0.00%,B,88,B,88,B,85,C,75,B,85,B,89
229906,,CHESTER ISD,REGION 05: BEAUMONT,TYLER,Elem/Secondary,No,No,136,56.60%,0.00%,B,89,A,90,A,90,B,85,A,90,B,85
230904,,UNION HILL ISD,REGION 07: KILGORE,UPSHUR,Elem/Secondary,No,No,161,64.00%,1.90%,B,80,B,81,C,78,C,78,C,78,C,76
231902,,RANKIN ISD,REGION 18: MIDLAND,UPTON,Elem/Secondary,No,No,312,40.10%,9.90%,B,88,B,89,B,87,B,82,B,87,B,85
232901,,KNIPPA ISD,REGION 20: SAN ANTONIO,UVALDE,Elem/Secondary,No,No,412,32.00%,3.90%,A,95,A,96,A,90,A,90,A,90,A,92
232904,,UTOPIA ISD,REGION 20: SAN ANTONIO,UVALDE,Elem/Secondary,No,No,212,42.50%,3.80%,B,85,B,88,B,86,B,81,B,86,C,79
233903,,COMSTOCK ISD,REGION 15: SAN ANGELO,VAL VERDE,Elem/Secondary,No,No,240,36.30%,3.80%,A,91,A,93,B,89,B,85,B,89,B,85
234801,,RANCH ACADEMY,REGION 07: KILGORE,VAN ZANDT,Elem/Secondary,Yes,Yes,75,85.30%,0.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
235902,,VICTORIA ISD,REGION 03: VICTORIA,VICTORIA,Elem/Secondary,No,No,32,87.50%,6.30%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
238904,,GRANDFALLS-ROYALTY ISD,REGION 18: MIDLAND,WARD,Elem/Secondary,No,No,147,61.90%,1.40%,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,30
240901,,LAREDO ISD,REGION 01: EDINBURG,WEBB,Elem/Secondary,No,No,52,100.00%,55.80%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
240903,,UNITED ISD,REGION 01: EDINBURG,WEBB,Elem/Secondary,No,No,144,93.10%,41.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
242903,,WHEELER ISD,REGION 16: AMARILLO,WHEELER,Elem/Secondary,No,No,406,67.50%,22.20%,A,91,A,90,A,90,B,83,A,90,A,94
242905,,KELTON ISD,REGION 16: AMARILLO,WHEELER,Elem/Secondary,No,No,137,67.20%,5.80%,B,86,B,87,B,88,C,78,B,88,B,81
242906,,FORT ELLIOTT CISD,REGION 16: AMARILLO,WHEELER,Elem/Secondary,No,No,159,30.80%,0.60%,A,94,A,92,B,84,B,84,B,81,A,100
243905,,WICHITA FALLS ISD,REGION 09: WICHITA FALLS,WICHITA,Elem/Secondary,No,No,45,71.10%,4.40%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
243906,,CITY VIEW ISD,REGION 09: WICHITA FALLS,WICHITA,Elem/Secondary,No,No,600,69.50%,3.50%,B,85,B,86,B,87,C,73,B,87,B,81
244901,,HARROLD ISD,REGION 09: WICHITA FALLS,WILBARGER,Elem/Secondary,No,No,105,54.30%,0.00%,B,87,C,77,A,93,A,93,C,70,C,74
244905,,NORTHSIDE ISD,REGION 09: WICHITA FALLS,WILBARGER,Elem/Secondary,No,No,236,33.10%,0.00%,B,88,A,90,B,88,C,76,B,88,B,83
246801,,MERIDIAN WORLD SCHOOL LLC,REGION 13: AUSTIN,WILLIAMSON,Elem/Secondary,No,Yes,"1,683",5.70%,9.80%,A,96,A,96,A,90,A,90,B,81,A,96
246905,,GRANGER ISD,REGION 13: AUSTIN,WILLIAMSON,Elem/Secondary,No,No,506,61.50%,15.00%,B,81,B,84,B,84,B,84,B,82,C,73
246909,,ROUND ROCK ISD,REGION 13: AUSTIN,WILLIAMSON,Elem/Secondary,No,No,73,43.80%,11.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
246913,,LEANDER ISD,REGION 13: AUSTIN,WILLIAMSON,Elem/Secondary,No,No,50,48.00%,12.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
247901,,FLORESVILLE ISD,REGION 20: SAN ANTONIO,WILSON,Elem/Secondary,No,No,31,71.00%,9.70%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
249908,,SLIDELL ISD,REGION 11: FORT WORTH,WISE,Elem/Secondary,No,No,383,37.90%,13.10%,B,81,B,82,B,82,B,82,C,71,C,79
250902,,HAWKINS ISD,REGION 07: KILGORE,WOOD,Elem/Secondary,No,No,392,61.70%,1.30%,B,86,B,87,B,88,B,81,B,88,B,81
250905,,YANTIS ISD,REGION 07: KILGORE,WOOD,Elem/Secondary,No,No,190,53.20%,11.10%,C,71,C,72,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,69
250906,,ALBA-GOLDEN ISD,REGION 07: KILGORE,WOOD,Elem/Secondary,No,No,422,44.30%,2.60%,B,85,B,88,B,85,C,73,B,85,C,79
252902,,NEWCASTLE ISD,REGION 09: WICHITA FALLS,YOUNG,Elem/Secondary,No,No,212,62.70%,1.40%,A,90,A,92,A,92,B,87,A,92,B,86
1902,,CAYUGA ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,246,45.90%,1.20%,A,91,A,92,A,90,B,82,A,90,B,87
1903,,ELKHART ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,320,57.80%,4.10%,A,91,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
1903,,ELKHART ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,255,44.70%,3.90%,A,91,A,90,B,88,B,88,B,85,A,94
1904,,FRANKSTON ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,373,62.50%,4.00%,A,93,A,90,A,90,B,88,A,90,A,100
1906,,NECHES ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,238,56.70%,1.70%,A,93,A,90,B,89,B,89,B,89,A,100
1907,,PALESTINE ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,484,87.40%,15.70%,C,78,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
1907,,PALESTINE ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,227,87.20%,9.30%,C,78,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
1907,,PALESTINE ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,468,81.00%,21.40%,C,78,C,74,B,81,Not Rated,        .,B,81,C,72
1907,,PALESTINE ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,639,81.10%,25.00%,B,80,C,74,B,82,C,77,B,82,C,76
1908,,WESTWOOD ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,384,74.50%,8.10%,B,83,C,72,B,86,B,86,C,77,C,76
1908,,WESTWOOD ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,342,78.90%,6.10%,B,83,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
1909,,SLOCUM ISD,REGION 07: KILGORE,ANDERSON,Elementary,No,No,257,52.10%,0.80%,B,81,B,82,B,82,B,82,B,82,C,77
2901,,ANDREWS ISD,REGION 18: MIDLAND,ANDREWS,Elementary,No,No,622,53.20%,17.70%,C,79,C,78,C,79,Not Rated,        .,C,79,C,78
2901,,ANDREWS ISD,REGION 18: MIDLAND,ANDREWS,Elementary,No,No,605,50.60%,16.70%,C,74,C,74,C,75,C,75,Not Rated: Senate Bill 1365,69,C,71
2901,,ANDREWS ISD,REGION 18: MIDLAND,ANDREWS,Elementary,No,No,762,53.10%,22.60%,C,79,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3801,,PINEYWOODS COMMUNITY ACADEMY,REGION 07: KILGORE,ANGELINA,Elementary,No,Yes,503,61.80%,5.20%,A,93,B,88,A,91,A,91,B,88,A,96
3902,,HUDSON ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,677,55.10%,6.40%,B,89,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3902,,HUDSON ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,652,52.90%,10.30%,B,89,B,82,B,86,B,86,B,82,A,96
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,232,92.70%,15.50%,A,91,C,75,A,92,A,92,B,84,B,89
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,379,70.20%,6.90%,B,84,B,82,B,87,B,83,B,87,C,77
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,272,95.60%,9.60%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,58,C,70,C,70,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,64
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,198,95.50%,25.80%,B,80,Not Rated: Senate Bill 1365,69,B,83,B,83,C,76,C,73
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,405,75.80%,6.40%,B,84,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,254,99.60%,31.50%,B,87,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,130,100.00%,22.30%,B,87,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,254,94.90%,18.50%,B,80,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,244,90.60%,12.70%,A,91,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,503,85.30%,55.70%,B,85,C,74,B,88,B,88,B,82,C,78
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,274,94.90%,8.00%,Not Rated: Senate Bill 1365,68,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,372,88.70%,51.30%,B,85,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,1,0.00%,0.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3904,,HUNTINGTON ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,507,63.10%,0.60%,C,79,C,77,B,81,Not Rated,        .,B,81,C,74
3904,,HUNTINGTON ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,240,57.90%,1.30%,C,74,C,75,C,75,C,74,C,75,C,71
3905,,DIBOLL ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,325,77.20%,14.80%,B,82,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3905,,DIBOLL ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,148,79.70%,10.80%,B,82,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
3905,,DIBOLL ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,354,75.10%,13.30%,B,82,C,77,B,84,C,79,B,84,C,76
3906,,ZAVALLA ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,153,77.10%,0.00%,C,77,C,73,B,80,Not Rated: Senate Bill 1365,59,B,80,Not Rated: Senate Bill 1365,69
3907,,CENTRAL ISD,REGION 07: KILGORE,ANGELINA,Elementary,No,No,627,59.30%,7.80%,B,84,C,76,B,86,B,86,C,77,C,79
4901,,ARANSAS COUNTY ISD,REGION 02: CORPUS CHRISTI,ARANSAS,Elementary,No,No,639,73.40%,6.30%,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,63
4901,,ARANSAS COUNTY ISD,REGION 02: CORPUS CHRISTI,ARANSAS,Elementary,No,No,713,78.70%,6.70%,Not Rated: Senate Bill 1365,67,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
5901,,ARCHER CITY ISD,REGION 09: WICHITA FALLS,ARCHER,Elementary,No,No,277,43.70%,3.20%,A,96,A,94,A,93,A,91,A,93,A,100
5902,,HOLLIDAY ISD,REGION 09: WICHITA FALLS,ARCHER,Elementary,No,No,510,30.20%,1.20%,A,94,B,88,A,92,A,92,C,75,A,98
5904,,WINDTHORST ISD,REGION 09: WICHITA FALLS,ARCHER,Elementary,No,No,280,29.30%,7.90%,A,96,A,94,A,94,A,94,A,91,A,100
7901,,CHARLOTTE ISD,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,No,No,170,67.10%,5.30%,A,93,C,77,A,95,A,95,B,81,B,89
7902,,JOURDANTON ISD,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,No,No,435,54.90%,3.00%,C,79,C,78,B,80,C,75,B,80,C,76
7902,,JOURDANTON ISD,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,No,No,302,68.20%,3.60%,C,79,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
7904,,LYTLE ISD,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,No,No,505,75.40%,16.00%,C,72,Not Rated: Senate Bill 1365,57,C,74,C,74,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,66
7904,,LYTLE ISD,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,No,No,348,78.20%,16.10%,C,72,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
7905,,PLEASANTON ISD,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,No,No,968,68.40%,6.00%,C,76,C,72,C,77,C,77,C,75,C,74
7905,,PLEASANTON ISD,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,No,No,679,77.50%,5.00%,C,76,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
7906,,POTEET ISD,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,No,No,564,75.00%,8.50%,Not Rated: Senate Bill 1365,44,Not Rated: Senate Bill 1365,50,Not Rated: Senate Bill 1365,50,Not Rated,        .,Not Rated: Senate Bill 1365,50,Not Rated: Senate Bill 1365,30
7906,,POTEET ISD,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,No,No,236,68.60%,9.70%,B,80,Not Rated: Senate Bill 1365,67,B,82,B,82,Not Rated: Senate Bill 1365,66,C,75
8901,,BELLVILLE ISD,REGION 06: HUNTSVILLE,AUSTIN,Elementary,No,No,541,54.90%,14.60%,Not Rated: Senate Bill 1365,65,C,70,Not Rated: Senate Bill 1365,60,Not Rated,        .,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,54
8901,,BELLVILLE ISD,REGION 06: HUNTSVILLE,AUSTIN,Elementary,No,No,261,51.00%,13.80%,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,66
8901,,BELLVILLE ISD,REGION 06: HUNTSVILLE,AUSTIN,Elementary,No,No,164,36.00%,4.90%,C,79,B,80,B,80,B,80,C,70,C,78
8902,,SEALY ISD,REGION 06: HUNTSVILLE,AUSTIN,Elementary,No,No,627,65.20%,20.60%,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,63
8902,,SEALY ISD,REGION 06: HUNTSVILLE,AUSTIN,Elementary,No,No,666,61.70%,21.90%,B,89,B,85,A,92,A,92,B,86,B,82
8903,,BRAZOS ISD,REGION 06: HUNTSVILLE,AUSTIN,Elementary,No,No,302,66.20%,23.80%,B,87,C,78,B,88,B,88,B,83,B,83
9901,,MULESHOE ISD,REGION 17: LUBBOCK,BAILEY,Elementary,No,No,291,86.90%,40.90%,C,77,C,72,B,80,B,80,C,79,C,71
9901,,MULESHOE ISD,REGION 17: LUBBOCK,BAILEY,Elementary,No,No,385,90.10%,37.70%,C,77,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
10902,,BANDERA ISD,REGION 20: SAN ANTONIO,BANDERA,Elementary,No,No,629,54.50%,6.70%,Not Rated: Senate Bill 1365,68,C,70,C,70,C,70,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,62
10902,,BANDERA ISD,REGION 20: SAN ANTONIO,BANDERA,Elementary,No,No,436,55.70%,5.30%,C,72,C,73,C,72,C,72,C,70,C,71
11901,,BASTROP ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,779,69.30%,29.90%,C,72,C,72,C,74,Not Rated: Senate Bill 1365,59,C,74,Not Rated: Senate Bill 1365,66
11901,,BASTROP ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,742,61.10%,4.90%,B,81,B,82,B,85,Not Rated: Senate Bill 1365,69,B,85,C,73
11901,,BASTROP ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,951,92.00%,68.10%,C,74,Not Rated: Senate Bill 1365,53,C,79,C,79,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,61
11901,,BASTROP ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,666,88.70%,55.90%,B,84,Not Rated: Senate Bill 1365,58,B,89,A,91,Not Rated: Senate Bill 1365,60,C,73
11901,,BASTROP ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,742,79.40%,37.10%,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,60
11901,,BASTROP ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,636,92.50%,55.50%,C,70,Not Rated: Senate Bill 1365,58,C,72,C,72,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,66
11902,,ELGIN ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,666,81.70%,60.70%,Not Rated: Senate Bill 1365,52,Not Rated: Senate Bill 1365,51,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,52,Not Rated: Senate Bill 1365,43
11902,,ELGIN ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,744,81.70%,49.90%,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,62
11902,,ELGIN ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,528,67.80%,33.90%,Not Rated: Senate Bill 1365,54,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,50
11904,,SMITHVILLE ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,633,50.60%,10.60%,C,75,C,76,C,74,C,74,C,72,C,72
11904,,SMITHVILLE ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,186,51.10%,3.20%,C,75,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
11905,,MCDADE ISD,REGION 13: AUSTIN,BASTROP,Elementary,No,No,186,60.80%,26.30%,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,C,70,C,70,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,67
12901,,SEYMOUR ISD,REGION 09: WICHITA FALLS,BAYLOR,Elementary,No,No,270,68.10%,0.70%,A,91,A,90,A,92,A,92,A,91,B,87
13801,,ST MARY'S ACADEMY CHARTER SCHOOL,REGION 02: CORPUS CHRISTI,BEE,Elementary,No,Yes,401,83.50%,1.20%,B,81,C,74,B,82,C,79,B,82,C,78
13901,,BEEVILLE ISD,REGION 02: CORPUS CHRISTI,BEE,Elementary,No,No,433,86.80%,1.60%,B,86,C,79,B,88,B,86,B,88,B,81
13901,,BEEVILLE ISD,REGION 02: CORPUS CHRISTI,BEE,Elementary,No,No,525,93.30%,2.10%,B,89,Not Rated: Senate Bill 1365,69,A,93,A,93,C,75,C,78
13901,,BEEVILLE ISD,REGION 02: CORPUS CHRISTI,BEE,Elementary,No,No,285,76.50%,3.20%,B,86,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
13902,,PAWNEE ISD,REGION 02: CORPUS CHRISTI,BEE,Elementary,No,No,498,88.00%,0.80%,B,87,C,74,A,91,A,91,B,82,C,78
13903,,PETTUS ISD,REGION 02: CORPUS CHRISTI,BEE,Elementary,No,No,182,68.70%,0.00%,C,74,C,72,C,75,Not Rated: Senate Bill 1365,69,C,75,C,71
13905,,SKIDMORE-TYNAN ISD,REGION 02: CORPUS CHRISTI,BEE,Elementary,No,No,367,68.70%,2.70%,A,91,C,77,A,93,A,93,B,82,B,87
14803,,PRIORITY CHARTER SCHOOLS,REGION 12: WACO,BELL,Elementary,No,Yes,123,45.50%,3.30%,C,76,C,74,C,77,C,77,Not Rated: Senate Bill 1365,66,C,72
14804,,ORENDA CHARTER SCHOOL,REGION 12: WACO,BELL,Elementary,No,Yes,106,17.00%,2.80%,C,74,C,76,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,69
14901,,ACADEMY ISD,REGION 12: WACO,BELL,Elementary,No,No,388,38.10%,7.70%,B,84,B,82,B,86,B,86,C,75,C,79
14901,,ACADEMY ISD,REGION 12: WACO,BELL,Elementary,No,No,452,37.60%,5.80%,B,84,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,228,54.40%,1.80%,C,78,C,78,B,80,Not Rated: Senate Bill 1365,62,B,80,C,72
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,276,84.80%,4.30%,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,66
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,400,86.30%,34.50%,Not Rated: Senate Bill 1365,61,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,60
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,688,21.40%,0.90%,A,96,A,92,A,94,A,94,B,81,A,100
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,626,23.80%,1.80%,A,95,A,91,A,93,A,93,C,77,A,100
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,630,35.20%,3.20%,B,86,B,82,B,86,B,86,C,72,B,85
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,732,30.70%,3.40%,C,71,C,72,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,67
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,628,32.60%,1.40%,C,73,C,75,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,69
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,877,62.40%,15.80%,C,78,Not Rated: Senate Bill 1365,62,B,82,B,82,Not Rated: Senate Bill 1365,58,C,70
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,419,65.40%,12.60%,B,87,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
14903,,BELTON ISD,REGION 12: WACO,BELL,Elementary,No,No,555,34.80%,10.30%,B,82,C,78,B,83,B,83,Not Rated: Senate Bill 1365,67,B,81
14905,,HOLLAND ISD,REGION 12: WACO,BELL,Elementary,No,No,311,42.10%,2.30%,B,87,B,89,B,83,B,83,B,83,B,81
14906,,KILLEEN ISD,REGION 12: WACO,BELL,Elementary,No,No,20,75.00%,5.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .
14906,,KILLEEN ISD,REGION 12: WACO,BELL,Elementary,No,No,672,86.90%,27.80%,A,90,C,78,A,92,A,92,B,87,B,86
14906,,KILLEEN ISD,REGION 12: WACO,BELL,Elementary,No,No,803,21.90%,4.50%,C,78,C,78,C,79,C,79,Not Rated: Senate Bill 1365,57,C,77
14906,,KILLEEN ISD,REGION 12: WACO,BELL,Elementary,No,No,528,88.80%,41.10%,C,78,Not Rated: Senate Bill 1365,56,B,80,B,80,Not Rated: Senate Bill 1365,57,C,72
14906,,KILLEEN ISD,REGION 12: WACO,BELL,Elementary,No,No,604,49.00%,6.60%,B,88,C,79,B,88,B,88,C,79,B,88
14906,,KILLEEN ISD,REGION 12: WACO,BELL,Elementary,No,No,561,35.30%,5.00%,B,82,B,82,C,72,Not Rated,        .,C,72,Not Rated,        .
